county,aqi,pollutant,number_of_sites_reporting,date
Dutchess,38,Ozone,1,2021-02-21
Dutchess,32,Ozone,1,2021-02-22
Dutchess,38,Ozone,1,2021-02-23
Dutchess,37,Ozone,1,2021-02-24
Dutchess,40,Ozone,1,2021-02-25
Dutchess,42,Ozone,1,2021-02-26
Dutchess,35,Ozone,1,2021-02-27
Dutchess,35,Ozone,1,2021-02-28
Dutchess,38,Ozone,1,2021-03-01
Dutchess,40,Ozone,1,2021-03-02
Dutchess,42,Ozone,1,2021-03-03
Dutchess,39,Ozone,1,2021-03-04
Dutchess,41,Ozone,1,2021-03-05
Dutchess,37,Ozone,1,2021-03-06
Dutchess,39,Ozone,1,2021-03-07
Dutchess,43,Ozone,1,2021-03-08
Dutchess,41,Ozone,1,2021-03-09
Dutchess,41,Ozone,1,2021-03-10
Dutchess,50,Ozone,1,2021-03-11
Dutchess,42,Ozone,1,2021-03-12
Dutchess,39,Ozone,1,2021-03-13
Dutchess,39,Ozone,1,2021-03-14
Dutchess,39,Ozone,1,2021-03-15
Dutchess,32,Ozone,1,2021-03-16
Dutchess,31,Ozone,1,2021-03-17
Dutchess,34,Ozone,1,2021-03-18
Dutchess,37,Ozone,1,2021-03-19
Dutchess,40,Ozone,1,2021-03-20
Dutchess,42,Ozone,1,2021-03-21
Dutchess,49,Ozone,1,2021-03-22
Dutchess,45,Ozone,1,2021-03-23
Dutchess,34,Ozone,1,2021-03-24
Dutchess,36,Ozone,1,2021-03-25
Dutchess,40,Ozone,1,2021-03-26
Dutchess,39,Ozone,1,2021-03-27
Dutchess,37,Ozone,1,2021-03-28
Dutchess,40,Ozone,1,2021-03-29
Dutchess,45,Ozone,1,2021-03-30
Dutchess,35,Ozone,1,2021-03-31
Erie,31,PM2.5,4,2021-01-01
Erie,36,PM2.5,4,2021-01-02
Erie,36,PM2.5,4,2021-01-03
Erie,51,PM2.5,4,2021-01-04
Erie,50,PM2.5,4,2021-01-05
Erie,33,PM2.5,4,2021-01-06
Erie,30,Ozone,4,2021-01-07
Erie,33,PM2.5,4,2021-01-08
Erie,45,PM2.5,4,2021-01-09
Erie,43,PM2.5,4,2021-01-10
Erie,48,PM2.5,4,2021-01-11
Erie,51,PM2.5,4,2021-01-12
Erie,62,PM2.5,4,2021-01-13
Erie,54,PM2.5,4,2021-01-14
Erie,50,PM2.5,4,2021-01-15
Erie,35,PM2.5,4,2021-01-16
Erie,37,PM2.5,4,2021-01-17
Erie,33,PM2.5,4,2021-01-18
Erie,34,PM2.5,4,2021-01-19
Erie,31,Ozone,4,2021-01-20
Erie,32,PM2.5,4,2021-01-21
Erie,29,PM2.5,4,2021-01-22
Erie,33,Ozone,4,2021-01-23
Erie,28,Ozone,4,2021-01-24
Erie,36,PM2.5,4,2021-01-25
Erie,31,PM2.5,4,2021-01-26
Erie,38,PM2.5,4,2021-01-27
Erie,33,Ozone,4,2021-01-28
Erie,32,Ozone,4,2021-01-29
Erie,36,Ozone,4,2021-01-31
Erie,34,Ozone,4,2021-02-01
Erie,34,Ozone,4,2021-02-02
Erie,35,Ozone,4,2021-02-03
Erie,32,Ozone,4,2021-02-05
Erie,33,Ozone,4,2021-02-06
Erie,40,PM2.5,4,2021-02-08
Erie,56,PM2.5,4,2021-02-09
Erie,51,PM2.5,4,2021-02-10
Erie,44,PM2.5,4,2021-02-11
Erie,35,Ozone,4,2021-02-13
Erie,53,PM2.5,4,2021-02-15
Erie,35,Ozone,4,2021-02-16
Erie,37,Ozone,4,2021-02-18
Erie,37,Ozone,4,2021-02-19
Erie,42,Ozone,4,2021-02-20
