county,deaths,date
Jefferson,16,2021-01-09
Kings,5551,2021-01-09
Lewis,20,2021-01-09
Livingston,31,2021-01-09
Madison,73,2021-01-09
Manhattan,2302,2021-01-09
Monroe,679,2021-01-09
Montgomery,63,2021-01-09
Nassau,2482,2021-01-09
Niagara,214,2021-01-09
Non-NYS,159,2021-01-09
Oneida,300,2021-01-09
Onondaga,496,2021-01-09
Ontario,75,2021-01-09
Orange,546,2021-01-09
Orleans,65,2021-01-09
Oswego,55,2021-01-09
Otsego,20,2021-01-09
Putnam,68,2021-01-09
Queens,5477,2021-01-09
Rensselaer,93,2021-01-09
Richmond,926,2021-01-09
Rockland,607,2021-01-09
Saratoga,53,2021-01-09
Schenectady,108,2021-01-09
Schoharie,5,2021-01-09
Schuyler,10,2021-01-09
Seneca,44,2021-01-09
St. Lawrence,49,2021-01-09
Statewide Total,31672,2021-01-09
Steuben,127,2021-01-09
Suffolk,2453,2021-01-09
Sullivan,48,2021-01-09
Tioga,54,2021-01-09
Tompkins,18,2021-01-09
Ulster,167,2021-01-09
Warren,33,2021-01-09
Washington,19,2021-01-09
Wayne,46,2021-01-09
Westchester,1730,2021-01-09
Wyoming,32,2021-01-09
Yates,14,2021-01-09
Albany,234,2021-01-10
Allegany,75,2021-01-10
Bronx,3621,2021-01-10
Broome,229,2021-01-10
Cattaraugus,58,2021-01-10
Cayuga,52,2021-01-10
Chautauqua,38,2021-01-10
Chemung,104,2021-01-10
Chenango,33,2021-01-10
Clinton,12,2021-01-10
Columbia,65,2021-01-10
Cortland,48,2021-01-10
Delaware,14,2021-01-10
Dutchess,275,2021-01-10
Erie,1301,2021-01-10
Essex,16,2021-01-10
Franklin,9,2021-01-10
Fulton,43,2021-01-10
Genesee,85,2021-01-10
Greene,38,2021-01-10
Hamilton,1,2021-01-10
Herkimer,35,2021-01-10
Jefferson,16,2021-01-10
Kings,5563,2021-01-10
Lewis,21,2021-01-10
Livingston,32,2021-01-10
Madison,73,2021-01-10
Manhattan,2309,2021-01-10
Monroe,698,2021-01-10
Montgomery,65,2021-01-10
Nassau,2489,2021-01-10
Niagara,221,2021-01-10
Non-NYS,159,2021-01-10
Oneida,310,2021-01-10
Onondaga,501,2021-01-10
Ontario,75,2021-01-10
Orange,551,2021-01-10
Orleans,65,2021-01-10
Oswego,56,2021-01-10
Otsego,20,2021-01-10
Putnam,68,2021-01-10
Queens,5492,2021-01-10
Rensselaer,95,2021-01-10
Richmond,928,2021-01-10
Rockland,608,2021-01-10
Saratoga,59,2021-01-10
Schenectady,109,2021-01-10
Schoharie,5,2021-01-10
Schuyler,10,2021-01-10
Seneca,44,2021-01-10
St. Lawrence,49,2021-01-10
Statewide Total,31841,2021-01-10
Steuben,127,2021-01-10
Suffolk,2466,2021-01-10
Sullivan,48,2021-01-10
Tioga,54,2021-01-10
Tompkins,18,2021-01-10
Ulster,170,2021-01-10
Warren,33,2021-01-10
Washington,19,2021-01-10
Wayne,46,2021-01-10
Westchester,1736,2021-01-10
Wyoming,33,2021-01-10
Yates,14,2021-01-10
Albany,237,2021-01-11
Allegany,75,2021-01-11
Bronx,3630,2021-01-11
Broome,233,2021-01-11
Cattaraugus,58,2021-01-11
Cayuga,56,2021-01-11
Chautauqua,40,2021-01-11
Chemung,106,2021-01-11
Chenango,33,2021-01-11
Clinton,11,2021-01-11
Columbia,66,2021-01-11
Cortland,50,2021-01-11
Delaware,14,2021-01-11
Dutchess,277,2021-01-11
Erie,1312,2021-01-11
Essex,16,2021-01-11
Franklin,9,2021-01-11
Fulton,43,2021-01-11
Genesee,86,2021-01-11
Greene,44,2021-01-11
Hamilton,1,2021-01-11
Herkimer,36,2021-01-11
Jefferson,16,2021-01-11
Kings,5573,2021-01-11
Lewis,21,2021-01-11
Livingston,33,2021-01-11
Madison,73,2021-01-11
Manhattan,2316,2021-01-11
Monroe,712,2021-01-11
Montgomery,66,2021-01-11
Nassau,2496,2021-01-11
Niagara,224,2021-01-11
Non-NYS,160,2021-01-11
Oneida,314,2021-01-11
Onondaga,505,2021-01-11
Ontario,76,2021-01-11
Orange,553,2021-01-11
Orleans,65,2021-01-11
Oswego,57,2021-01-11
Otsego,20,2021-01-11
Putnam,68,2021-01-11
Queens,5507,2021-01-11
Rensselaer,95,2021-01-11
Richmond,931,2021-01-11
Rockland,609,2021-01-11
Saratoga,62,2021-01-11
Schenectady,109,2021-01-11
Schoharie,5,2021-01-11
Schuyler,10,2021-01-11
Seneca,44,2021-01-11
St. Lawrence,51,2021-01-11
Statewide Total,32007,2021-01-11
Steuben,128,2021-01-11
Suffolk,2487,2021-01-11
Sullivan,48,2021-01-11
Tioga,54,2021-01-11
Tompkins,18,2021-01-11
Ulster,175,2021-01-11
Warren,33,2021-01-11
Washington,19,2021-01-11
Wayne,47,2021-01-11
Westchester,1744,2021-01-11
Wyoming,35,2021-01-11
Yates,15,2021-01-11
Albany,241,2021-01-12
Allegany,75,2021-01-12
Bronx,3637,2021-01-12
Broome,240,2021-01-12
Cattaraugus,58,2021-01-12
Cayuga,60,2021-01-12
Chautauqua,46,2021-01-12
Chemung,107,2021-01-12
Chenango,35,2021-01-12
Clinton,12,2021-01-12
Columbia,66,2021-01-12
Cortland,51,2021-01-12
Delaware,14,2021-01-12
Dutchess,280,2021-01-12
