county,date,aqi,pollutant,number_of_sites_reporting
Bronx,2020-07-20,58,Ozone,4
Bronx,2020-07-21,74,Ozone,4
Bronx,2020-07-22,97,Ozone,4
Bronx,2020-07-23,54,Ozone,4
Bronx,2020-07-24,35,Ozone,4
Bronx,2020-07-25,87,Ozone,4
Bronx,2020-07-26,51,Ozone,4
Bronx,2020-07-27,80,Ozone,4
Bronx,2020-07-28,47,Ozone,4
Bronx,2020-07-29,64,Ozone,4
Bronx,2020-07-30,97,Ozone,4
Bronx,2020-07-31,44,Ozone,4
Bronx,2020-08-01,58,Ozone,4
Bronx,2020-08-02,47,PM2.5,4
Bronx,2020-08-03,49,Ozone,4
Bronx,2020-08-04,38,PM2.5,4
Bronx,2020-08-05,54,Ozone,4
Bronx,2020-08-06,80,Ozone,4
Bronx,2020-08-07,54,Ozone,4
Bronx,2020-08-08,44,Ozone,4
Bronx,2020-08-09,64,Ozone,4
Bronx,2020-08-10,100,Ozone,4
Bronx,2020-08-11,54,PM2.5,4
Bronx,2020-08-12,71,Ozone,4
Bronx,2020-08-13,45,PM2.5,4
Bronx,2020-08-14,50,PM2.5,4
Bronx,2020-08-15,49,PM2.5,4
Bronx,2020-08-16,35,PM2.5,4
Bronx,2020-08-17,42,Ozone,4
Bronx,2020-08-18,39,Ozone,4
Bronx,2020-08-20,43,Ozone,4
Bronx,2020-08-21,58,Ozone,4
Bronx,2020-08-22,51,PM2.5,4
Bronx,2020-08-23,43,PM2.5,4
Bronx,2020-08-24,58,Ozone,4
Bronx,2020-08-25,49,Ozone,4
Bronx,2020-08-26,28,Ozone,4
Bronx,2020-08-27,49,Ozone,4
Bronx,2020-08-28,45,PM2.5,4
Bronx,2020-08-29,29,PM2.5,4
Bronx,2020-08-30,27,Ozone,4
Bronx,2020-08-31,28,Ozone,4
Bronx,2020-09-01,27,Ozone,4
Bronx,2020-09-02,34,PM2.5,4
Bronx,2020-09-03,48,Ozone,4
Bronx,2020-09-04,39,Ozone,4
Bronx,2020-09-05,36,Ozone,4
Bronx,2020-09-06,61,Ozone,4
Bronx,2020-09-07,35,Ozone,4
Bronx,2020-09-08,38,Ozone,4
Bronx,2020-09-09,35,Ozone,4
Bronx,2020-09-11,27,PM2.5,4
Bronx,2020-09-12,27,Ozone,4
Bronx,2020-09-13,30,PM2.5,4
Bronx,2020-09-14,27,Ozone,4
Bronx,2020-09-15,26,Ozone,4
Bronx,2020-09-17,29,PM2.5,4
Bronx,2020-09-18,30,PM2.5,4
Bronx,2020-09-19,28,Ozone,4
Bronx,2020-09-20,27,Ozone,4
Bronx,2020-09-21,27,Ozone,4
Bronx,2020-09-22,31,Ozone,4
Bronx,2020-09-23,44,PM2.5,4
Bronx,2020-09-24,58,PM2.5,4
Bronx,2020-09-25,76,PM2.5,4
Bronx,2020-09-26,55,PM2.5,4
Bronx,2020-09-27,35,PM2.5,4
Bronx,2020-09-28,31,PM2.5,4
Bronx,2020-09-29,35,PM2.5,4
Bronx,2020-09-30,30,Ozone,4
Bronx,2020-10-01,29,Ozone,4
Bronx,2020-10-02,28,Ozone,4
Bronx,2020-10-03,28,Ozone,4
Bronx,2020-10-04,31,Ozone,4
Bronx,2020-10-05,32,Ozone,4
Bronx,2020-10-07,39,PM2.5,4
Bronx,2020-10-08,25,Ozone,4
Bronx,2020-10-09,30,Ozone,4
Bronx,2020-10-10,36,PM2.5,4
Bronx,2020-10-11,42,PM2.5,4
Bronx,2020-10-12,25,Ozone,4
Bronx,2020-10-13,20,Ozone,4
Bronx,2020-10-15,43,Ozone,4
Bronx,2020-10-18,40,PM2.5,4
Bronx,2020-10-19,33,PM2.5,4
Bronx,2020-10-20,37,PM2.5,4
Bronx,2020-10-21,33,PM2.5,4
Bronx,2020-10-22,60,PM2.5,4
Bronx,2020-10-23,39,PM2.5,4
Bronx,2020-10-24,26,PM2.5,4
Bronx,2020-10-25,21,Ozone,4
Bronx,2020-10-26,32,PM2.5,4
Bronx,2020-10-27,27,PM2.5,4
Bronx,2020-10-28,28,PM2.5,4
Bronx,2020-10-29,23,Ozone,4
Bronx,2020-10-31,34,PM2.5,4
Bronx,2020-11-01,26,Ozone,4
Bronx,2020-11-02,28,Ozone,4
Bronx,2020-11-03,30,PM2.5,4
Bronx,2020-11-04,44,PM2.5,4
Bronx,2020-11-06,52,PM2.5,4
Bronx,2020-11-07,63,PM2.5,4
Bronx,2020-11-08,83,PM2.5,4
Bronx,2020-11-09,88,PM2.5,4
Bronx,2020-11-10,53,PM2.5,4
Bronx,2020-11-11,30,PM2.5,4
Bronx,2020-11-14,34,PM2.5,4
Bronx,2020-11-15,37,Ozone,4
Bronx,2020-11-18,29,Ozone,4
Bronx,2020-11-20,48,PM2.5,4
Bronx,2020-11-21,52,PM2.5,4
Bronx,2020-11-22,32,PM2.5,4
Bronx,2020-11-23,26,Ozone,4
Bronx,2020-11-26,36,PM2.5,4
Bronx,2020-11-28,28,PM2.5,4
Bronx,2020-11-29,43,PM2.5,4
Bronx,2020-11-30,45,PM2.5,4
