Report Date,County,Place of Fatality,Deaths by County of Residence
1/8/21,Bronx,3292,3605
1/8/21,Broome,246,226
1/8/21,Cattaraugus,52,57
1/8/21,Cayuga,36,44
1/8/21,Chautauqua,35,33
1/8/21,Chemung,126,102
1/8/21,Chenango,20,28
1/8/21,Clinton,14,12
1/8/21,Columbia,59,63
1/8/21,Cortland,45,46
1/8/21,Delaware,6,14
1/8/21,Dutchess,287,270
1/8/21,Erie,1377,1285
1/8/21,Essex,13,16
1/8/21,Franklin,8,9
1/8/21,Fulton,29,41
1/8/21,Genesee,74,80
1/8/21,Greene,16,36
1/8/21,Hamilton,0,1
1/8/21,Herkimer,15,35
1/8/21,Jefferson,13,16
1/8/21,Kings,4985,5542
1/8/21,Lewis,7,19
1/8/21,Livingston,16,31
1/8/21,Madison,67,72
1/8/21,Manhattan,3708,2294
1/8/21,Monroe,752,670
1/8/21,Montgomery,59,62
1/8/21,Nassau,3022,2470
1/8/21,Niagara,152,211
1/8/21,Non-NYS,0,158
1/8/21,Oneida,296,293
1/8/21,Onondaga,543,495
1/8/21,Ontario,88,73
1/8/21,Orange,559,540
1/8/21,Orleans,42,65
1/8/21,Oswego,42,54
1/8/21,Otsego,23,20
1/8/21,Putnam,67,68
1/8/21,Queens,4395,5465
1/8/21,Rensselaer,79,92
1/8/21,Richmond,914,919
1/8/21,Rockland,564,606
1/8/21,Saratoga,35,52
1/8/21,Schenectady,95,105
1/8/21,Schoharie,0,5
1/8/21,Schuyler,4,10
1/8/21,Seneca,28,44
1/8/21,St. Lawrence,49,49
1/8/21,Statewide Total,31519,31519
1/8/21,Steuben,110,127
1/8/21,Suffolk,2482,2438
1/8/21,Sullivan,41,48
1/8/21,Tioga,39,54
1/8/21,Tompkins,21,18
1/8/21,Ulster,97,165
1/8/21,Warren,39,32
1/8/21,Washington,11,18
1/8/21,Wayne,24,46
1/8/21,Westchester,1873,1721
1/8/21,Wyoming,24,31
1/8/21,Yates,9,14
1/9/21,Albany,347,231
1/9/21,Allegany,54,75
1/9/21,Bronx,3298,3611
1/9/21,Broome,247,227
1/9/21,Cattaraugus,52,57
1/9/21,Cayuga,42,50
1/9/21,Chautauqua,38,36
1/9/21,Chemung,127,103
1/9/21,Chenango,23,31
1/9/21,Clinton,14,12
1/9/21,Columbia,60,65
1/9/21,Cortland,45,46
1/9/21,Delaware,6,14
1/9/21,Dutchess,291,273
1/9/21,Erie,1386,1293
1/9/21,Essex,13,16
1/9/21,Franklin,8,9
1/9/21,Fulton,29,42
1/9/21,Genesee,74,80
1/9/21,Greene,16,37
1/9/21,Hamilton,0,1
1/9/21,Herkimer,15,35
1/9/21,Jefferson,13,16
1/9/21,Kings,4993,5551
1/9/21,Lewis,7,20
1/9/21,Livingston,16,31
1/9/21,Madison,68,73
1/9/21,Manhattan,3718,2302
1/9/21,Monroe,762,679
1/9/21,Montgomery,60,63
1/9/21,Nassau,3037,2482
1/9/21,Niagara,154,214
1/9/21,Non-NYS,0,159
1/9/21,Oneida,303,300
1/9/21,Onondaga,545,496
1/9/21,Ontario,90,75
1/9/21,Orange,565,546
1/9/21,Orleans,42,65
1/9/21,Oswego,43,55
1/9/21,Otsego,23,20
1/9/21,Putnam,67,68
1/9/21,Queens,4406,5477
1/9/21,Rensselaer,80,93
1/9/21,Richmond,920,926
1/9/21,Rockland,565,607
1/9/21,Saratoga,35,53
1/9/21,Schenectady,97,108
